Titre,Description,Paramètres,Status,Réponse
,Étudiant non trouvé,"{""ine"":""1234567404G""}",404,"{
  ""errors"": [
    {
      ""code"": ""25003"",
      ""title"": ""Entité non trouvée"",
      ""detail"": ""Aucun étudiant n'a pu être trouvé avec les critères de recherche fournis."",
      ""source"": null,
      ""meta"": {
        ""provider"": ""MESRI""
      }
    }
  ]
}"
,Étudiant inscrit (appel par INE),"{""ine"":""1234567890A""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Dupont"",
      ""prenom"": ""Jean"",
      ""date_naissance"": ""2002-02-01""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2020-09-01"",
        ""date_fin"": ""2021-06-31"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""33199"",
        ""etablissement_etudes"": {
          ""uai"": ""0332870R"",
          ""nom"": ""LPO LYCEE DES METIERS DE LA MER""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant 0100007108D inscrit (appel par INE),"{""ine"":""0100007108D""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""MARTIN"",
      ""prenom"": ""Jeanne"",
      ""date_naissance"": ""2001-11-10""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2022-08-01"",
        ""date_fin"": ""2023-07-30"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""75020"",
        ""etablissement_etudes"": {
          ""uai"": ""0750106H"",
          ""nom"": ""ECOLE TECHNOLOGIQUE PRIVEE""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant 0100008010J inscrit (appel par INE),"{""ine"":""0100008010J""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Petit"",
      ""prenom"": ""Thomas"",
      ""date_naissance"": ""2000-02-12""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2019-02-16"",
        ""date_fin"": ""2021-05-30"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""75020"",
        ""etablissement_etudes"": {
          ""uai"": ""0750106H"",
          ""nom"": ""ECOLE TECHNOLOGIQUE PRIVEE""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant 012345678AA inscrit (appel par INE),"{""ine"":""012345678AA""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""DUBOIS"",
      ""prenom"": ""Jean"",
      ""date_naissance"": ""2003-01-10""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2020-09-11"",
        ""date_fin"": ""2022-06-30"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""75020"",
        ""etablissement_etudes"": {
          ""uai"": ""0750106H"",
          ""nom"": ""ECOLE TECHNOLOGIQUE PRIVEE""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,"Étudiant 1234567890B inscrit (appel par INE), année scolaire 2022 à Toulouse","{""ine"":""1234567890B""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Longchambon"",
      ""prenom"": ""Thomas"",
      ""date_naissance"": ""2001-01-01""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2022-09-01"",
        ""date_fin"": ""2023-08-31"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""31555"",
        ""etablissement_etudes"": {
          ""uai"": ""0313124C"",
          ""nom"": ""Université Toulouse Capitole""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,"Étudiant 1234567890C inscrit (appel par INE), année scolaire 2023 à Toulouse","{""ine"":""1234567890C""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Charbonneau"",
      ""prenom"": ""Axelle"",
      ""date_naissance"": ""2001-01-02""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2023-09-01"",
        ""date_fin"": ""2024-08-31"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""31555"",
        ""etablissement_etudes"": {
          ""uai"": ""0313124C"",
          ""nom"": ""Université Toulouse Capitole""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,"Étudiant 1234567890D inscrit (appel par INE), année scolaire 2023 à Toulouse","{""ine"":""1234567890D""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Montgomery"",
      ""prenom"": ""Marie"",
      ""date_naissance"": ""2001-01-03""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2023-09-01"",
        ""date_fin"": ""2024-08-31"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""31555"",
        ""etablissement_etudes"": {
          ""uai"": ""0313124C"",
          ""nom"": ""Université Toulouse Capitole""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,"Étudiant 1234567890E inscrit (appel par INE), année scolaire 2023 à Paris","{""ine"":""1234567890E""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Granet"",
      ""prenom"": ""Cyril"",
      ""date_naissance"": ""2001-01-04""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2023-09-01"",
        ""date_fin"": ""2024-08-31"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""75020"",
        ""etablissement_etudes"": {
          ""uai"": ""0750106H"",
          ""nom"": ""ECOLE TECHNOLOGIQUE PRIVEE""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,"Étudiant 1234567890F inscrit (appel par INE), année scolaire 2024 à Toulouse","{""ine"":""1234567890F""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Le Tonnelier"",
      ""prenom"": ""Pierre-Marie"",
      ""date_naissance"": ""2001-01-03""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2024-09-01"",
        ""date_fin"": ""2025-08-31"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""31555"",
        ""etablissement_etudes"": {
          ""uai"": ""0313124C"",
          ""nom"": ""Université Toulouse Capitole""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant 655888578AE inscrit (appel par INE),"{""ine"":""655888578AE""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""KOSAKAMI"",
      ""prenom"": ""Korako"",
      ""date_naissance"": ""2002-10-13""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2023-09-01"",
        ""date_fin"": ""2024-06-31"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""75020"",
        ""etablissement_etudes"": {
          ""uai"": ""0750106H"",
          ""nom"": ""ECOLE TECHNOLOGIQUE PRIVEE""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,"Étudiant 660309901AG inscrit (appel par INE), ne renvoie pas d'INE","{""ine"":""660309901AG""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""LEBRETON"",
      ""prenom"": ""Arnaud"",
      ""date_naissance"": ""1988-09-10""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2021-09-16"",
        ""date_fin"": ""2023-07-25"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""75020"",
        ""etablissement_etudes"": {
          ""uai"": ""0750106H"",
          ""nom"": ""ECOLE TECHNOLOGIQUE PRIVEE""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant 675773666AD inscrit (appel par INE),"{""ine"":""675773666AD""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Moreau"",
      ""prenom"": ""Aurélie"",
      ""date_naissance"": ""2002-01-02""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2022-09-05"",
        ""date_fin"": ""2023-05-29"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""75020"",
        ""etablissement_etudes"": {
          ""uai"": ""0750106H"",
          ""nom"": ""ECOLE TECHNOLOGIQUE PRIVEE""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
