Titre,Description,Paramètres,Status,Réponse
,Étudiant non trouvé,"{""ine"":""1234567404G""}",404,"{
  ""errors"": [
    {
      ""code"": ""25003"",
      ""title"": ""Entité non trouvée"",
      ""detail"": ""Aucun étudiant n'a pu être trouvé avec les critères de recherche fournis."",
      ""source"": null,
      ""meta"": {
        ""provider"": ""MESRI""
      }
    }
  ]
}"
,Étudiant ADMIS,"{""nomNaissance"":""MELINARD"",""prenoms"":[""PATRICK""],""anneeDateNaissance"":1990,""moisDateNaissance"":1,""jourDateNaissance"":1,""sexeEtatCivil"":""M"",""codeCogInseeCommuneNaissance"":""78000""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""MELINARD"",
      ""prenom"": ""PATRICK"",
      ""date_naissance"": ""1990-01-01""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2023-07-01"",
        ""date_fin"": ""2024-08-31"",
        ""est_inscrit"": false,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""75009"",
        ""etablissement_etudes"": {
          ""uai"": ""0331023W"",
          ""nom"": ""Université Paris Saclay""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant admis AUTORBB LANCE,"{""nomNaissance"":""AUTORBB"",""prenoms"":[""LANCE""],""anneeDateNaissance"":2005,""moisDateNaissance"":2,""jourDateNaissance"":5,""sexeEtatCivil"":""M"",""codeCogInseeCommuneNaissance"":""99138""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""AUTORBB"",
      ""prenom"": ""LANCE"",
      ""date_naissance"": ""2005-02-05""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2025-09-01"",
        ""date_fin"": ""2026-12-31"",
        ""est_inscrit"": false,
        ""regime_formation"": {
          ""libelle"": ""formation continue"",
          ""code"": ""RF5""
        },
        ""code_cog_insee_commune"": ""75009"",
        ""etablissement_etudes"": {
          ""uai"": ""0331023W"",
          ""nom"": ""Université Paris Nanterre""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant admis AUTORBB PIERRE,"{""nomNaissance"":""AUTORBB"",""prenoms"":[""PIERRE""],""anneeDateNaissance"":2001,""moisDateNaissance"":2,""jourDateNaissance"":5,""sexeEtatCivil"":""M"",""codeCogInseeCommuneNaissance"":""99424""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""AUTORBB"",
      ""prenom"": ""PIERRE"",
      ""date_naissance"": ""2001-02-05""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2025-09-01"",
        ""date_fin"": ""2026-12-31"",
        ""est_inscrit"": false,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""75009"",
        ""etablissement_etudes"": {
          ""uai"": ""0331023W"",
          ""nom"": ""Université Paris Nanterre""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant admis,"{""nomNaissance"":""Avérone"",""prenoms"":[""Denis""],""anneeDateNaissance"":2005,""moisDateNaissance"":8,""jourDateNaissance"":1,""sexeEtatCivil"":""M"",""codeCogInseeCommuneNaissance"":""78646""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Avérone"",
      ""prenom"": ""Denis"",
      ""date_naissance"": ""2005-08-01""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2024-09-01"",
        ""date_fin"": ""2025-07-31"",
        ""est_inscrit"": false,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""93430"",
        ""etablissement_etudes"": {
          ""uai"": ""0331023W"",
          ""nom"": ""Université Sorbonne Paris Nord""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant admis Figo Luis,"{""nomNaissance"":""Figo"",""prenoms"":[""Luis""],""anneeDateNaissance"":2003,""moisDateNaissance"":6,""jourDateNaissance"":27,""sexeEtatCivil"":""M"",""codeCogInseeCommuneNaissance"":""59350""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Figo"",
      ""prenom"": ""Luis"",
      ""date_naissance"": ""2003-06-27""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2025-09-01"",
        ""date_fin"": ""2026-12-31"",
        ""est_inscrit"": false,
        ""regime_formation"": {
          ""libelle"": ""formation continue"",
          ""code"": ""RF5""
        },
        ""code_cog_insee_commune"": ""75009"",
        ""etablissement_etudes"": {
          ""uai"": ""0331023W"",
          ""nom"": ""Université Paris Nanterre""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant admis Nani Luis,"{""nomNaissance"":""Nani"",""prenoms"":[""Luis""],""anneeDateNaissance"":2002,""moisDateNaissance"":4,""jourDateNaissance"":25,""sexeEtatCivil"":""M"",""codeCogInseeCommuneNaissance"":""99331""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Nani"",
      ""prenom"": ""Luis"",
      ""date_naissance"": ""2002-04-25""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2025-09-01"",
        ""date_fin"": ""2026-12-31"",
        ""est_inscrit"": false,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""75009"",
        ""etablissement_etudes"": {
          ""uai"": ""0331023W"",
          ""nom"": ""Université Paris Nanterre""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant inscrit formation continue,"{""nomNaissance"":""SOULI"",""prenoms"":[""Walid""],""anneeDateNaissance"":1998,""moisDateNaissance"":1,""jourDateNaissance"":1,""sexeEtatCivil"":""M"",""codeCogInseeCommuneNaissance"":""78000""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""SOULI"",
      ""prenom"": ""Walid"",
      ""date_naissance"": ""1998-01-01""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2023-07-01"",
        ""date_fin"": ""2024-08-31"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation continue"",
          ""code"": ""RF5""
        },
        ""code_cog_insee_commune"": ""75009"",
        ""etablissement_etudes"": {
          ""uai"": ""0331023W"",
          ""nom"": ""Université Paris Saclay""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant inscrit,"{""nomNaissance"":""CALIDONE"",""prenoms"":[""Lola""],""anneeDateNaissance"":2005,""moisDateNaissance"":1,""jourDateNaissance"":1,""sexeEtatCivil"":""F"",""codeCogInseeCommuneNaissance"":""75109""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""CALIDONE"",
      ""prenom"": ""Lola"",
      ""date_naissance"": ""2005-01-01""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2024-09-01"",
        ""date_fin"": ""2025-07-31"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""92000"",
        ""etablissement_etudes"": {
          ""uai"": ""0334523W"",
          ""nom"": ""Université Paris Nanterre""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
,Étudiant inscrit,"{""nomNaissance"":""MARTIN"",""prenoms"":[""Jacques""],""anneeDateNaissance"":2004,""moisDateNaissance"":1,""jourDateNaissance"":1,""sexeEtatCivil"":""M"",""codeCogInseeCommuneNaissance"":""75102""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom_naissance"": ""Martin"",
      ""prenom"": ""Jacques"",
      ""date_naissance"": ""2004-01-01""
    },
    ""admissions"": [
      {
        ""date_debut"": ""2024-10-01"",
        ""date_fin"": ""2025-08-31"",
        ""est_inscrit"": true,
        ""regime_formation"": {
          ""libelle"": ""formation initiale"",
          ""code"": ""RF1""
        },
        ""code_cog_insee_commune"": ""92000"",
        ""etablissement_etudes"": {
          ""uai"": ""0330023W"",
          ""nom"": ""Université Paris Nanterre""
        }
      }
    ]
  },
  ""links"": {},
  ""meta"": {}
}"
